055	P	B27	Trigger, Popup und Empfänger erhalten; idealerweise schwächt die festgehaltene Soll-Funktion zur Präferenz ab.
056	F	B26	Eigener Bewohner-Account ausdrücklich vorhanden.
057	F	B26	Bewohner darf ausdrücklich nur eigenes Profil sehen.
058	P	B26	Fehlbedienungsgrenze und eigener About-Me-Zugang erhalten; mindestens statt enger Beschränkung auf diese Funktionen.
059	F	B26	Zugang zum eigenen About-Me-Bereich ausdrücklich enthalten.
060	F	B26	Eigene Bilder im About-Me-Bereich hinzufügen ausdrücklich enthalten.
061	P	B28	Hilfe/Tutorial als Kern vorhanden; offene Frage nach Eingabe-/Suchanleitung fehlt. Bestehende Auslegung G-061 übernommen.
062	P	B29	Rollenspezifische Settings vorhanden; ausschließliche Sichtbarkeit für Admins fehlt.
063	P	B17,B29	Rechteverwaltung als Kern vorhanden; ihre offene Detailklärung fehlt. Bestehende Auslegung G-063 übernommen.
064	F	B17,B26,B29	Admin-/User-/Bewohnerrolle und administrative Account-Anlage/Rechteverwaltung im Verbund, nach derselben historischen Bündellesart wie R; strengere Alternative separat.
065	F	B35	Flutter und Dart ausdrücklich vorgesehen.
066	P	B37	Einheitliche Versionen genannt; Flutter/Dart und die zwei Versionsnummern fehlen.
067	F	B38	Firebase Firestore zunächst als zentrale Datenbank gewählt.
068	F	B39	Ob und wie lokal zwischengespeichert wird ausdrücklich zu klären.
069	P	B39	Offene lokale Zwischenspeicherung enthalten, NoSQLite nicht. Gleiche historische G-069-Auslegung.
070	F	B40	Android 11 für erste Entwicklung/Testausführung ausdrücklich enthalten.
071	F	B41	JetX berücksichtigen und erproben enthalten.
072	N	-	Kein Claim zur Logo-Gestaltung oder -Anzeige.
073	N	-	Keine Logo-Position oder Zentrierung.
074	N	-	Kein Kommunikationsbezug des Logos.
075	N	-	Keine runde Logogestaltung.
076	N	-	Keine offene Schattenwurf-Option.
077	N	B16	Login allgemein vorhanden; E-Mail-/Passwort-Felder und Position fehlen.
078	N	B30	Barrierearme Gestaltung vorhanden; Intuitivität/Benutzerfreundlichkeit nicht ausdrücklich enthalten.
079	N	B16	Login allgemein vorhanden; Button und Position fehlen.
080	N	B16	Optische Hervorhebung des Login-Buttons fehlt.
081	F	B25	Aktueller Seitentitel mittig in Appbar ausdrücklich enthalten.
082	F	B25	Linker Zurück-Pfeil mit Rücknavigation ausdrücklich enthalten.
083	F	B25	Rechtes Einstellungssymbol mit Navigation zur Einstellungsseite enthalten.
084	F	B19	Gut sichtbare Suchleiste unter Appbar enthalten.
085	P	B19	Bild, Name und Kurzbeschreibung enthalten; Platzierung der Profile unter Suchleiste nicht ausdrücklich angegeben.
086	F	B19	Liste beziehungsweise Kacheln bleiben als alternative Darstellungen erhalten.
087	P	B20	Plus-Dialog mit Bild, Name und Beschreibung enthalten; Position am unteren Bildschirmrand fehlt.
088	N	B19	Profilvorschaubild vorhanden; größeres Bild in Detailansicht fehlt.
089	N	B19,B22	Keine Profil-Detailansicht mit vier interaktiven Bereichsbuttons beschrieben.
090	N	B22	Nur verbale/nonverbale Trennung, keine visuelle Unterscheidung; dieselbe Grenze wie Hauptlauf. A14 enthält dagegen explizit visuell.
091	N	B15	No-Go-Seite vorhanden; visuelles Warnsymbol fehlt.
092	N	B15	No-Go-Liste vorhanden; einfaches Durchforsten nicht beschrieben.
093	N	B15	Beschränkung auf wichtigste Informationen fehlt.
094	N	B24	Terminkalender vorhanden; Datums-Tap und öffnende Details fehlen.
095	N	B24	Medikamentengaben im Kalender decken G-013, aber keine visuelle Erinnerungsmarkierung. Gleiche Abgrenzung wie ursprünglicher Lauf.
096	F	B29	Rollenabhängige Settings und beide Admin-Funktionen enthalten.
097	F	B29	Alle Nutzer dürfen eigenes Profil ändern.
098	F	B29	Alle Nutzer dürfen Einstellungen wie Sprache ändern.
099	N	B29	Einstellungen allgemein vorhanden; leicht zugänglicher Datenschutzbereich fehlt.
100	P	B28	Erstlogin-Einführung enthalten; optional und etwa relativieren die bestätigte Planung.
101	P	B28	Erneut aufrufbare Hilfe enthalten; optional schwächt die bestätigte Funktion ab.
102	F	B30	Große Schrift ausdrücklich enthalten.
103	F	B30	Ausreichender Kontrast ausdrücklich enthalten.
104	F	B30	Zurückhaltende Farbverwendung sinngemäß enthalten.
105	N	B32	Vermeiden ablenkender Animationen ersetzt keine Ablehnung von Animationen/Feedback insgesamt.
106	F	B31	Sprachbefehle/alternative Eingaben ausdrücklich zu prüfen.
107	P	B32	Ablenkungsgrenze für Animationen enthalten; zusätzlicher Feedback-Gegenstand fehlt.
108	N	B30	Klares Branding fehlt.
109	P	B39	Offene lokale Zwischenspeicherung zur Vermeidung erneuten Ladens enthalten; Ladesequenz bei Seitenaufruf fehlt.
