gold_id	statement	R	A	B	reason_R	reason_A	reason_B
G-IE-011	Der About-Me-Bereich soll einen ersten persönlichen Eindruck des Bewohners vermitteln.	none	full	none	KEIN Claim zum Zweck 'erster persönlicher Eindruck' (AU-0025 von CAN-012 konsumiert)	About-Me vermittelt ausdrücklich einen ersten Eindruck.	Persönliche About-Me-Daten sind vorhanden; der eigenständige Zweck erster Eindruck fehlt wie im ursprünglichen Lauf.
G-IE-012	Die App soll ihren Schwerpunkt auf unterstützende Kommunikation behalten und nicht durch einen zu großen Funktionsumfang davon abweichen.	full	none	none	CAN-012: 'Fokus auf unterstützender Kommunikation erhalten'	Kommunikationszweck genannt, Begrenzung des Funktionsumfangs zu seinem Schutz fehlt.	Kommunikationszweck enthalten; Begrenzung des Funktionsumfangs zum Schutz dieses Zwecks fehlt.
G-IE-013	Der Kalender soll Medikamentengaben abbilden.	full	full	full	CAN-024: Kalender mit Terminen und Medikamentengaben	Kalendereinträge zu Medikamenten und Terminen ausdrücklich enthalten.	Medikamentengaben ausdrücklich im Kalender abbildbar.
G-IE-014	Nutzer sollen neue Kommunikationsweisen dynamisch über einen Plus-Button im unteren Bereich der Kommunikationsseiten hinzufügen können; der Button öffnet einen Dialog zum Hinzufügen von Texten und Bildern.	partial	partial	partial	CAN-023: Hinzufügen mit Texten/Bildern ✓; Plus-Button, Position unten und der (v2 ergänzte) Eingabedialog fehlen	Dynamisch ergänzbare Kommunikation mit Bildern/Text; Plus-Button unten und Eingabedialog fehlen für diesen Bereich.	Neue Kommunikationsweisen mit Text/Bild ergänzbar; Plus-Button unten und Eingabedialog fehlen.
G-IE-015	Der verbale und der nonverbale Bereich sollen über je einen eigenen Button erreichbar sein, der zur jeweiligen Unterseite navigiert.	none	full	none	Bereichs-Trennung ist bereits G-033 gutgeschrieben; der EIGENSTÄNDIGE Gehalt von G-015 (je eigener Navigations-Button zur Unterseite) fehlt komplett — partial wäre Doppel-Kredit	Verbaler und nonverbaler Bereich jeweils über klare Buttons erreichbar.	Bloße Bereichstrennung deckt G-033, nicht die eigenständige Navigationsfunktion mit zwei Buttons in G-015.
G-IE-016	Auch Angehörige sollen Zugriff auf die App erhalten.	full	full	full	CAN-017	Zugriff für Angehörige ausdrücklich enthalten.	Angehörigenzugriff ausdrücklich enthalten.
G-IE-017	Angehörige sollen bei neuen Bewohnern bereits vorab Daten in die App einpflegen können.	partial	partial	partial	CAN-017: Beitragen ✓, aber 'vorab bei neuen Bewohnern' fehlt (Bedingung)	Angehörige können Daten hinzufügen; Vorab-Befüllung bei neuen Bewohnern fehlt.	Angehörige tragen Daten bei; Vorab-Befüllung bei neuen Bewohnern fehlt.
G-IE-018	Die App soll einen No-Go-Bereich enthalten, in dem für einen Bewohner festgehalten wird, was in seiner Gegenwart unbedingt zu vermeiden ist.	full	full	full	CAN-018	Bewohnerbezogene No-Go-Seite und unbedingt zu vermeidende Dinge enthalten.	Bewohnerbezogene No-Go-Seite und kritische zu vermeidende Dinge enthalten.
G-IE-019	Ein Admin soll neue Accounts anlegen können.	full	full	full	CAN-019: 'Admins legen Accounts an'	Admin-Anlage von Accounts ausdrücklich enthalten.	Administrative Account-Anlage ausdrücklich enthalten.
G-IE-020	Mitarbeiter und Angehörige sollen als normale User-Accounts geführt werden.	partial	partial	partial	GEBÜNDELT CAN-019 (User-Rollentyp) + CAN-017 (Angehörigen-Zugriff): Substanz angerissen, explizite Zuordnung Mitarbeiter/Angehörige→User fehlt	Angehörigenzugriff und User-Rolle vorhanden; Zuordnung von Mitarbeitern/Angehörigen zu normalen User-Accounts fehlt.	Angehörigenzugriff und User-Rolle enthalten; Zuordnung Mitarbeiter/Angehörige zu User-Accounts fehlt.
G-IE-021	Normale User-Accounts sollen Inhalte hinzufügen können.	partial	full	full	CAN-013: Hinzufügen-Fähigkeit ✓, aber Rollen-Bindung an normale User fehlt	User dürfen ausdrücklich Inhalte hinzufügen.	User dürfen Inhalte hinzufügen.
G-IE-022	Ein Admin soll die Rechte beziehungsweise Rollen von Accounts verwalten können.	full	full	full	CAN-019: 'verwalten Rechte'	Admin kann Rechte anpassen.	Admins passen Rechte an.
G-IE-023	Normale User-Accounts sollen hinzugefügte Daten nicht löschen können.	none	full	full	KEIN Claim zum Lösch-Verbot für normale User	Löschverbot für User ausdrücklich erhalten.	Löschverbot für User ausdrücklich enthalten.
G-IE-024	Die App soll nur mit zuvor zugewiesenen Accounts nutzbar sein; eine öffentliche Selbstregistrierung soll nicht angeboten werden.	full	full	full	CAN-019 + CAN-042: zugewiesene Accounts, keine (Selbst-)Registrierung	Nur Login, keine Selbstregistrierung und ausschließlich administrative Account-Anlage erhalten.	Loginpflicht, keine Selbstregistrierung und ausschließlich administrative Anlage enthalten.
G-IE-025	Normale User-Accounts sollen keine neuen Accounts erstellen können.	none	full	full	CAN-019: Admin-Anlage + keine Selbstregistrierung ✓, aber Exklusivität (User KÖNNEN NICHT anlegen) nicht ausgesagt	A22 enthält ausdrücklich das Verbot der Account-Erstellung durch User.	User dürfen ausdrücklich keine Accounts erstellen.
G-IE-026	Die Profilübersicht soll eine Übersicht der Bewohnerprofile anzeigen.	full	full	full	CAN-020: anklickbare Liste = spezifische Form der geforderten Übersicht; 'Liste' folgt AU-0045 wörtlich (Grenzfall #1)	Übersicht der Bewohnerprofile enthalten.	Profilübersicht ausdrücklich enthalten.
G-IE-027	Nach erfolgreichem Login soll der Nutzer auf die Profilübersicht weitergeleitet werden.	full	full	full	CAN-020: nach Login auf Profilübersicht	Weiterleitung nach dem Login zur Profilübersicht enthalten.	Profilübersicht nach Login ausdrücklich enthalten.
G-IE-028	Ein Profil der Profilübersicht soll auswählbar sein und zur Detailansicht des gewählten Profils führen.	partial	partial	partial	CAN-020: anklickbar ✓, aber Ziel Detailansicht fehlt — GENAU das meldet Signal AU-0124 (missing_claim)	Profile sind anklickbar und Detailansicht existiert; Navigation vom ausgewählten Profil zu dieser Ansicht nicht ausdrücklich verknüpft.	Profile anklickbar; Navigation zu einer Detailansicht fehlt.
G-IE-029	Der About-Me-Bereich soll Bilder mit Beschreibungen enthalten.	full	full	full	CAN-022: erweiterbare Fotoliste mit Beschreibungen	Bilder mit Beschreibungen enthalten.	Bildliste mit Beschreibungen enthalten.
G-IE-030	Der About-Me-Bereich soll ganz oben ein Informationsfeld mit Angaben wie Name, Alter und Hobbys enthalten.	partial	full	partial	CAN-022: 'Personendaten' ✓, aber Position oben + Informationsfeld fehlen (wie F-Seite)	Obere Infobox mit Name, Alter und Hobbys enthalten.	Persönliche Informationen vorhanden; obere Infobox und ausdrücklich Name/Alter/Hobbys fehlen.
G-IE-031	Die About-Me-Foto-Timeline soll einem Social-Media-Feed ähneln: Neu hinzugefügte Bilder erscheinen oben, ältere Bilder bleiben darunter scrollbar.	partial	partial	partial	CAN-022: 'neueste oben' ✓, aber Feed-Analogie + 'ältere darunter scrollbar' fehlen (Zweitprüfer-Präzedenz F-Seite)	Timeline mit neuesten Fotos oben enthalten; ältere Fotos darunter scrollbar fehlt.	Foto-Timeline mit neuesten Bildern oben; ältere Bilder scrollbar und Feed-Anordnung nicht vollständig erhalten.
G-IE-032	Im About-Me-Bereich sollen neue Bilder dynamisch über einen Plus-Button am unteren Bildschirmrand und einen Eingabedialog hinzugefügt werden können.	partial	partial	partial	CAN-022: Plus-Button ✓, aber Position unten + Eingabedialog fehlen	Neue Einträge per Plus-Button; Position am unteren Rand und Eingabedialog fehlen.	Plus-Button zum Erweitern der Bildliste vorhanden; unterer Rand und Eingabedialog fehlen.
G-IE-033	Der Kommunikationsbereich soll in verbale und nonverbale Kommunikation getrennt sein.	full	full	full	CAN-023	Verbale und nonverbale Kommunikation getrennt enthalten.	Verbale/nonverbale Unterteilung ausdrücklich enthalten.
G-IE-034	Kommunikationsweisen sollen mit Texten und Bildern dokumentiert werden können.	full	full	full	CAN-023: mit Texten oder Bildern (gleicher Fähigkeitsumfang)	Kommunikationsinformationen mit textlichen und bildlichen Darstellungen im Verbund erhalten.	Kommunikationsweisen mit Texten und Bildern ausdrücklich enthalten.
G-IE-035	Der Kalender soll eine übersichtliche Monatsansicht bieten.	partial	full	partial	CAN-024: übersichtlich ✓, aber Monatsansicht fehlt	Klare Monatsansicht ausdrücklich enthalten.	Übersichtlicher Kalender vorhanden; Monatsansicht fehlt.
G-IE-036	Die App soll einen Kalender für Termine enthalten.	full	full	full	CAN-024	Kalender für Termine ausdrücklich enthalten.	Kalender für Termine ausdrücklich enthalten.
G-IE-037	Im Kalender sollen zu einzelnen Tagen Einträge hinzugefügt werden können.	none	none	none	KEIN Claim zum Hinzufügen von Einträgen an einzelnen Tagen	Tageseinträge sind sichtbar, aber das Hinzufügen ist nicht ausgedrückt. Eigenständige Funktion wie im historischen G-037 getrennt beurteilt.	Kalender/Termine enthalten, aber keinerlei Hinzufügen von Einträgen. Gleiche Auslegung wie ursprünglicher Lauf.
G-IE-038	Unter der Monatsansicht des Kalenders soll eine Liste mit Medikamenten angezeigt werden.	none	none	none	KEIN Claim zur Medikamentenliste unter der Monatsansicht	Medikamente im Kalender, aber keine Medikamentenliste unter der Monatsansicht.	Medikamentengaben im Kalender enthalten; separate Liste unter Monatsansicht fehlt.
G-IE-039	Nach dem Login soll auf jeder Seite eine konsistente Appbar angezeigt werden.	full	full	full	CAN-025: Appbar auf jeder Seite	Konsistente Appbar auf jeder Seite nach Login ausdrücklich enthalten.	Appbar auf jeder Seite nach Login mit gleichen Funktionen enthalten.
G-IE-040	Die Ausloggen-Funktion soll schnell erreichbar sein.	full	none	full	CAN-025: Logout in der Appbar jeder Seite = schnell erreichbar (Entailment)	Keine Ausloggen-Funktion und keine schnelle Erreichbarkeit beschrieben.	Logout in der nach Login auf jeder Seite vorhandenen Appbar ermöglicht den geforderten schnellen Zugang.
G-IE-041	Neue No-Go-Einträge sollen über einen Plus-Button dynamisch hinzugefügt werden können.	none	none	full	KEIN Claim zum Plus-Button auf der No-Go-Seite (nur CAN-018 Existenz)	No-Go-Seite genannt, kein Hinzufügen per Plus-Button.	Dynamisches Erweitern der No-Go-Liste per Plus-Button ausdrücklich enthalten.
G-IE-042	Eine vertiefte Datenschutzkonzeption wird im aktuellen Projekt nicht ausgearbeitet und gegebenenfalls als separates Folgeprojekt behandelt.	full	none	none	CAN-026	Datenschutzklärung/Zugangskontrolle genannt; Vertagung vertiefter Datenschutzkonzeption als Folgeprojekt fehlt.	Datenschutzprüfung/Zugangsbeschränkung enthalten; vertiefte Konzeption als Folgeprojekt fehlt.
G-IE-043	Admin-Accounts sollen hinzugefügte Daten löschen können.	none	none	none	KEIN Claim zum Löschrecht der Admins	User-Löschverbot und Admin-Verwaltung enthalten kein positives Admin-Löschrecht. Entspricht der früheren Trennung von Rollenverwaltung und Datenlöschung.	Administrative Account-Verwaltung und User-Löschverbot ersetzen kein positives Admin-Löschrecht.
G-IE-044	Die App ist für den internen Gebrauch der Einrichtung vorgesehen und soll nicht beliebigen externen Personen offenstehen.	full	full	full	CAN-027: interner Gebrauch	Interner Gebrauch ohne beliebigen externen Zugang ausdrücklich enthalten.	Ausschließlich interner Gebrauch ohne Selbstregistrierung ausdrücklich enthalten.
G-IE-045	Mitarbeiter sollen nur Profile von Bewohnern der Einrichtung sehen können, in der sie tätig sind.	full	full	full	CAN-027: nur Profile der eigenen Einrichtung	Zugriff nur auf Bewohnerprofile der eigenen Einrichtung ausdrücklich enthalten.	Einrichtungsübergreifender Profilzugriff ausdrücklich ausgeschlossen.
G-IE-046	Die App soll auf iOS- und Android-Smartphones lauffähig sein.	full	full	full	CAN-028: iPhone+Android ('möglichst' = quellennäherer Verpflichtungsgrad, gleicher Gehalt)	iOS und Android ausdrücklich enthalten.	iOS- und Android-Smartphones ausdrücklich enthalten.
G-IE-047	Ob die App auch auf Tablets unterstützt werden soll, ist noch zu evaluieren.	full	full	full	CAN-029	Tablet-Nutzung ausdrücklich noch zu prüfen.	Tablet-Unterstützung ausdrücklich noch zu evaluieren.
G-IE-048	Auf der Profilübersicht soll über eine Suchleiste nach dem Namen oder anderen relevanten Profildaten gesucht werden können.	partial	partial	partial	CAN-030: Suchleiste ✓, aber Suchkriterien Name/Profildaten fehlen (Zweitprüfer-Präzedenz F-Seite G-048)	Namenssuche ausdrücklich enthalten; Suche nach weiteren relevanten Profildaten fehlt.	Gezielte Profilsuche vorhanden; Name oder andere Daten als Suchkriterien nicht genannt.
G-IE-049	Auf den Kommunikationsseiten soll über eine Suchleiste oben im Bildschirm nach Kommunikationsweisen beziehungsweise Merkmalen wie einem Körperteil gesucht oder gefiltert werden können.	partial	partial	partial	CAN-032: Suchfunktion ✓, aber Position oben + Merkmals-Beispiele fehlen	Signalsuche/-filterung enthalten; Suchleiste oben im Bildschirm fehlt.	Suchfunktion auf Kommunikationsseiten vorhanden; Suchleiste oben und konkrete Merkmals-/Signalfilterung fehlen.
G-IE-050	Für Kommunikationsweisen soll ein systematisches Beschreibungsmuster verwendet werden, damit Einträge besser gesucht und gefiltert werden können.	full	full	full	CAN-032: einheitliches Beschreibungsmuster für gezieltes Finden	Standardisiertes Beschreibungsmuster zum besseren Suchen und Filtern ausdrücklich enthalten.	Einheitliches Eingabemuster verbessert Suche und Filter.
G-IE-051	Die genaue Ausgestaltung des Beschreibungsmusters für Kommunikationsweisen ist noch festzulegen.	full	full	full	CAN-032: must_clarify = Offenheit ausgesagt	Das Muster soll erst definiert werden; konkrete Formulierung ist nicht festgelegt.	Genaue Formulierung ausdrücklich noch festzulegen.
G-IE-052	Die zuvor separat geplante Videoseite wird verworfen; Videofunktionen sollen in die verbalen und nonverbalen Kommunikationsseiten integriert werden.	full	full	none	CAN-033: kein eigener Screen, Integration in Kommunikationsseiten	Separater Videoscreen verworfen und Integration in beide Kommunikationsseiten enthalten.	Videos in Kommunikationsbereiche integriert; ausdrückliche Aufgabe der separaten Videoseite fehlt.
G-IE-053	Im Kommunikationsbereich sollen Videos mit Beschreibungen zu Verhaltensweisen oder Kommunikationsarten hinzugefügt werden können.	full	full	partial	CAN-016: Videos mit Beschreibung erfassen	Videos mit Beschreibungen konkreter Kommunikationssituationen enthalten.	Videos in Kommunikation integriert; Hinzufügen von Videos mit Beschreibungen nicht ausdrücklich genannt.
G-IE-054	Neu hinzugefügte Erfahrungen sollen unmittelbar über die App mit anderen berechtigten Nutzern geteilt werden können.	partial	partial	partial	CAN-013+CAN-034 gebündelt: Hinzufügen + About-Me-Benachrichtigung ✓, aber unmittelbares Teilen ALLER Erfahrungen mit Berechtigten fehlt	Neue Erfahrungen können hinzugefügt werden; unmittelbares Teilen mit anderen berechtigten Nutzern fehlt.	Neue Erfahrungen hinzugefügt; unmittelbares Teilen mit anderen Berechtigten fehlt.
G-IE-055	Wenn im About-Me-Bereich etwas Neues hochgeladen wird, sollen alle mit der App verbundenen Nutzer derselben Einrichtung eine Popup-Benachrichtigung erhalten.	full	full	partial	CAN-034	Neue About-Me-Inhalte lösen Popup für verbundene Nutzer derselben Einrichtung aus.	Trigger, Popup und Empfänger erhalten; idealerweise schwächt die festgehaltene Soll-Funktion zur Präferenz ab.
G-IE-056	Ein eigener Bewohner-Account soll vorgesehen werden.	full	full	full	CAN-035	Eigene Bewohnerrolle ausdrücklich vorgesehen.	Eigener Bewohner-Account ausdrücklich vorhanden.
G-IE-057	Ein Bewohner-Account darf in der Profilübersicht nur das eigene Profil sehen.	full	full	full	CAN-035: nur eigenes Profil sehen	Bewohner sehen ausdrücklich nur eigenes Profil.	Bewohner darf ausdrücklich nur eigenes Profil sehen.
G-IE-058	Für Bewohner-Accounts werden zunächst der Zugriff auf das eigene Profil und die eigenen About-Me-Funktionen vorgesehen; diese Beschränkung soll Fehlbedienungen reduzieren.	full	partial	partial	CAN-035 deckt die v2-Engfassung passgenau: eigenes Profil + About-Me-Zugriff + eigene Bilder + Fehlbedienungs-Zweck	Eigener Profilzugriff und Fehlbedienungsgrenze enthalten; About-Me-Zugriff bleibt Prüffrage, ausschließlicher Funktionsumfang unvollständig.	Fehlbedienungsgrenze und eigener About-Me-Zugang erhalten; mindestens statt enger Beschränkung auf diese Funktionen.
G-IE-059	Ein Bewohner-Account soll auf den eigenen About-Me-Bereich zugreifen können.	full	partial	full	CAN-035: About-Me-Zugriff	Eigener About-Me-Zugriff nur als zu prüfende Möglichkeit statt vorgesehener Funktion.	Zugang zum eigenen About-Me-Bereich ausdrücklich enthalten.
G-IE-060	Ein Bewohner-Account soll im eigenen About-Me-Bereich eigene Bilder hinzufügen können.	full	partial	full	CAN-035: eigene Bilder hinzufügen	Eigene Bilder nur als zu prüfende Möglichkeit statt vorgesehener Funktion.	Eigene Bilder im About-Me-Bereich hinzufügen ausdrücklich enthalten.
G-IE-061	Ob der Hilfebereich zusätzlich erläutern soll, wie Informationen effektiv eingegeben und gesucht werden, bleibt offen.	partial	partial	partial	CAN-044 (Hilfe/Tutorial) trägt den Kern Hilfebereich; die OFFENE Teilfrage Eingabe-/Such-Erläuterung fehlt	Allgemeine Hilfefunktion als Kern vorhanden; die offene Teilfrage Eingabe-/Suchanleitung fehlt. Bestehende Auslegung G-061 auf gleichen Inhalt übertragen.	Hilfe/Tutorial als Kern vorhanden; offene Frage nach Eingabe-/Suchanleitung fehlt. Bestehende Auslegung G-061 übernommen.
G-IE-062	Der Admin-Bereich soll nur für Admin-Accounts sichtbar sein.	partial	partial	partial	CAN-043: rollenabhängige Differenzierung + Admin-Funktionen (Entailment: nur Admins sehen Admin-Funktionen)	Rollenabhängige Funktionen vorhanden; ausschließliche Sichtbarkeit des Admin-Bereichs fehlt.	Rollenspezifische Settings vorhanden; ausschließliche Sichtbarkeit für Admins fehlt.
G-IE-063	Die detaillierte Rechteverwaltung der vorgesehenen Account-Rollen ist noch festzulegen.	partial	partial	partial	analog G-061 (gleiche Regel-Logik): CAN-019/CAN-043 tragen den Rechteverwaltungs-Kern, der OFFENHEITS-Status ('noch festzulegen') fehlt	Rechteverwaltung als Kern vorhanden; offene Detailklärung fehlt. Bestehende Auslegung G-063 auf gleichen Inhalt übertragen.	Rechteverwaltung als Kern vorhanden; ihre offene Detailklärung fehlt. Bestehende Auslegung G-063 übernommen.
G-IE-064	Bei der Account-Anlage im Admin-Bereich sollen die drei Rollen Admin, User und Bewohner vergeben werden können.	full	full	full	GEBÜNDELT CAN-019 (Admin+User, Admins legen an) + CAN-035 (Bewohner-Account) = drei Rollen	Drei Rollen zusammen mit administrativer Account-Anlage/Rechteverwaltung im Verbund. Entspricht der dokumentierten Bündellesart des Hauptlaufs; striktere explizite Zuordnung bei Anlage als Sensitivität festgehalten.	Admin-/User-/Bewohnerrolle und administrative Account-Anlage/Rechteverwaltung im Verbund, nach derselben historischen Bündellesart wie R; strengere Alternative separat.
G-IE-065	Für die plattformübergreifende Entwicklung werden Flutter und Dart eingesetzt.	full	full	full	CAN-036	Flutter und Dart ausdrücklich gewählt.	Flutter und Dart ausdrücklich vorgesehen.
G-IE-066	Im Entwicklungsteam sollen für Flutter und Dart einheitliche Versionen installiert werden; im Gespräch werden die Versionsnummern 3.13.9 und 3.1.5 genannt.	partial	partial	partial	CAN-037: einheitliche Versionen ✓, aber Versionsnummern 3.13.9/3.1.5 fehlen (Zahlenwert)	Gleiche Werkzeugversionen gefordert; beide genannten Versionsnummern fehlen.	Einheitliche Versionen genannt; Flutter/Dart und die zwei Versionsnummern fehlen.
G-IE-067	Firebase Firestore wird zunächst als Datenbanklösung verwendet.	full	full	full	CAN-038: Firestore zunächst	Firebase Firestore zunächst als Datenhaltung gewählt.	Firebase Firestore zunächst als zentrale Datenbank gewählt.
G-IE-068	Wie Daten aus Firebase lokal auf dem Gerät gespeichert beziehungsweise zwischengespeichert werden, ist noch nicht abschließend geklärt.	full	full	full	CAN-038: lokale Speicherung muss geklärt werden	Lokale Speicherung und Laden von Cloud-Daten ausdrücklich ungeklärt.	Ob und wie lokal zwischengespeichert wird ausdrücklich zu klären.
G-IE-069	Ob eine NoSQLite-Datenbank zur lokalen Speicherung oder Zwischenspeicherung von Firebase-Daten eingesetzt wird, bleibt offen.	partial	partial	partial	CAN-038: Klärung offen ✓, aber die konkrete NoSQLite-Option fehlt	Offene lokale Cloud-Datenhaltung als Kern vorhanden; konkrete NoSQLite-Option fehlt. Entspricht der historischen Auslegung G-069.	Offene lokale Zwischenspeicherung enthalten, NoSQLite nicht. Gleiche historische G-069-Auslegung.
G-IE-070	Für die erste Android-Entwicklung und das Testen wird Android 11 als Zielversion verwendet.	full	full	full	CAN-039	Android 11 für erste Entwicklung und Tests enthalten.	Android 11 für erste Entwicklung/Testausführung ausdrücklich enthalten.
G-IE-071	Das JetX-Package wird in die technischen Rahmenbedingungen aufgenommen und zunächst erprobt.	full	full	full	CAN-041	JetX als Rahmenbedingung berücksichtigen und erproben enthalten.	JetX berücksichtigen und erproben enthalten.
G-IE-072	Der Login-Screen soll ein deutlich sichtbares Logo enthalten.	partial	partial	none	CAN-042: Logo ✓, aber 'deutlich sichtbar' fehlt	Logo vorhanden; deutlich sichtbare Gestaltung fehlt.	Kein Claim zur Logo-Gestaltung oder -Anzeige.
G-IE-073	Das Login-Logo soll vorzugsweise zentriert im oberen Drittel des Bildschirms platziert werden.	none	none	none	kein Claim zur Logo-Platzierung (CAN-042 nennt nur die Login-Elemente)	Logo vorhanden, weder Zentrierung noch oberes Drittel genannt.	Keine Logo-Position oder Zentrierung.
G-IE-074	Das Login-Logo soll einen inhaltlichen Bezug zum Thema Kommunikation haben.	none	none	none	KEIN Claim zum Kommunikations-Bezug des Logos	Inhaltlicher Kommunikationsbezug des Logos fehlt.	Kein Kommunikationsbezug des Logos.
G-IE-075	Das Login-Logo soll vorzugsweise rund gestaltet sein.	none	none	none	KEIN Claim zur runden Gestaltung	Runde Logogestaltung fehlt.	Keine runde Logogestaltung.
G-IE-076	Ob die Login-Eingabefelder einen leichten Schattenwurf erhalten, bleibt offen.	none	none	none	KEIN Claim zur offenen Schattenwurf-Frage	Offene Schattenwurf-Option fehlt.	Keine offene Schattenwurf-Option.
G-IE-077	Unter dem Logo sollen Felder für E-Mail und Passwort angeordnet sein.	partial	partial	none	CAN-042: Felder ✓, aber Anordnung unter dem Logo fehlt (Position)	E-Mail- und Passwortfelder vorhanden; Anordnung unter Logo fehlt.	Login allgemein vorhanden; E-Mail-/Passwort-Felder und Position fehlen.
G-IE-078	Das Design der App soll intuitiv und benutzerfreundlich sein.	none	none	none	KEIN Claim zu intuitiv/benutzerfreundlich (CAN-045 = Barrierefreiheit, anderes Konstrukt)	Barrierearme Gestaltung vorhanden; Intuitivität und Benutzerfreundlichkeit nicht ausdrücklich beschrieben.	Barrierearme Gestaltung vorhanden; Intuitivität/Benutzerfreundlichkeit nicht ausdrücklich enthalten.
G-IE-079	Der Login-Button soll unter den Eingabefeldern angeordnet sein.	partial	partial	none	CAN-042: Button ✓, aber Position unter den Feldern fehlt	Login-Button vorhanden; Position unter Eingabefeldern fehlt.	Login allgemein vorhanden; Button und Position fehlen.
G-IE-080	Der Login-Button soll optisch hervorstechen.	none	none	none	KEIN Claim zum optischen Hervorstechen des Login-Buttons	Optisches Hervorheben des Login-Buttons fehlt.	Optische Hervorhebung des Login-Buttons fehlt.
G-IE-081	Die Appbar soll den Namen der aktuell angezeigten Seite mittig darstellen.	none	partial	full	KEIN Claim zum mittigen Seitennamen in der Appbar	Seitentitel in Appbar vorhanden; mittige Platzierung fehlt.	Aktueller Seitentitel mittig in Appbar ausdrücklich enthalten.
G-IE-082	Die Appbar soll links eine Zurück-Navigation zur vorherigen Seite bereitstellen; als Symbol ist ein nach links zeigender Pfeil vorgesehen.	partial	partial	full	CAN-025: Rücknavigation ✓; Position links und (v2) Pfeilsymbol fehlen	Zurück-Navigation vorhanden; linke Platzierung und Pfeilsymbol fehlen.	Linker Zurück-Pfeil mit Rücknavigation ausdrücklich enthalten.
G-IE-083	Die Appbar soll rechts ein Einstellungssymbol enthalten, das zur Einstellungsseite führt.	partial	partial	full	CAN-025: Einstellungsfunktionen als offen deklariert, aber Einstellungssymbol rechts → Einstellungsseite nicht ausgesagt	Einstellungszugang vorhanden; rechtes Einstellungssymbol fehlt.	Rechtes Einstellungssymbol mit Navigation zur Einstellungsseite enthalten.
